# NIST ASTAR table for Photographic Emulsion (matno=215)
# Particle: alpha
# Source:   https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
# Underlying physics: ICRU Report 49 (proton) / ICRU 49 + 73 (alpha)
# Density [g/cm^3]: 3.81500
# Mean excitation energy I [eV]: 331.000
# Composition (weight fraction): H=0.014100, C=0.072261, N=0.019320, O=0.066101, S=0.001890, Br=0.349103, Ag=0.474105, I=0.003120
# Fetched: 2026-06-09 via scripts/fetch_nist_emulsion.py
# Columns: T_MeV, S_elec_MeV_cm2_per_g, S_nuc_MeV_cm2_per_g, S_total_MeV_cm2_per_g, R_csda_g_per_cm2, R_proj_g_per_cm2, detour_factor
T_MeV,S_elec_MeV_cm2_per_g,S_nuc_MeV_cm2_per_g,S_total_MeV_cm2_per_g,R_csda_g_per_cm2,R_proj_g_per_cm2,detour_factor
1.000000e-03,4.669000e+01,5.085000e+01,9.754000e+01,1.271000e-05,3.397000e-06,2.673000e-01
1.500000e-03,5.718000e+01,4.832000e+01,1.055000e+02,1.761000e-05,4.835000e-06,2.746000e-01
2.000000e-03,6.606000e+01,4.597000e+01,1.120000e+02,2.221000e-05,6.265000e-06,2.821000e-01
2.500000e-03,7.391000e+01,4.389000e+01,1.178000e+02,2.656000e-05,7.687000e-06,2.895000e-01
3.000000e-03,8.104000e+01,4.204000e+01,1.231000e+02,3.071000e-05,9.106000e-06,2.965000e-01
4.000000e-03,9.375000e+01,3.892000e+01,1.327000e+02,3.853000e-05,1.194000e-05,3.099000e-01
5.000000e-03,1.050000e+02,3.638000e+01,1.414000e+02,4.582000e-05,1.477000e-05,3.222000e-01
6.000000e-03,1.152000e+02,3.426000e+01,1.495000e+02,5.270000e-05,1.758000e-05,3.337000e-01
7.000000e-03,1.247000e+02,3.246000e+01,1.571000e+02,5.922000e-05,2.039000e-05,3.443000e-01
8.000000e-03,1.335000e+02,3.089000e+01,1.644000e+02,6.544000e-05,2.319000e-05,3.543000e-01
9.000000e-03,1.418000e+02,2.952000e+01,1.713000e+02,7.140000e-05,2.597000e-05,3.637000e-01
1.000000e-02,1.496000e+02,2.830000e+01,1.779000e+02,7.713000e-05,2.874000e-05,3.726000e-01
1.250000e-02,1.678000e+02,2.576000e+01,1.936000e+02,9.059000e-05,3.558000e-05,3.928000e-01
1.500000e-02,1.843000e+02,2.375000e+01,2.081000e+02,1.030000e-04,4.231000e-05,4.107000e-01
1.750000e-02,1.996000e+02,2.210000e+01,2.217000e+02,1.147000e-04,4.893000e-05,4.267000e-01
2.000000e-02,2.138000e+02,2.072000e+01,2.346000e+02,1.256000e-04,5.543000e-05,4.412000e-01
2.250000e-02,2.273000e+02,1.954000e+01,2.468000e+02,1.360000e-04,6.182000e-05,4.545000e-01
2.500000e-02,2.400000e+02,1.851000e+01,2.585000e+02,1.459000e-04,6.810000e-05,4.667000e-01
2.750000e-02,2.521000e+02,1.761000e+01,2.698000e+02,1.554000e-04,7.428000e-05,4.780000e-01
3.000000e-02,2.638000e+02,1.681000e+01,2.806000e+02,1.645000e-04,8.035000e-05,4.886000e-01
3.500000e-02,2.857000e+02,1.545000e+01,3.012000e+02,1.817000e-04,9.220000e-05,5.076000e-01
4.000000e-02,3.062000e+02,1.432000e+01,3.205000e+02,1.977000e-04,1.037000e-04,5.243000e-01
4.500000e-02,3.254000e+02,1.338000e+01,3.388000e+02,2.129000e-04,1.148000e-04,5.393000e-01
5.000000e-02,3.436000e+02,1.257000e+01,3.562000e+02,2.273000e-04,1.257000e-04,5.529000e-01
5.500000e-02,3.610000e+02,1.187000e+01,3.728000e+02,2.410000e-04,1.362000e-04,5.652000e-01
6.000000e-02,3.775000e+02,1.125000e+01,3.888000e+02,2.541000e-04,1.465000e-04,5.764000e-01
6.500000e-02,3.934000e+02,1.071000e+01,4.041000e+02,2.668000e-04,1.565000e-04,5.868000e-01
7.000000e-02,4.087000e+02,1.022000e+01,4.189000e+02,2.789000e-04,1.663000e-04,5.964000e-01
7.500000e-02,4.233000e+02,9.782000e+00,4.331000e+02,2.906000e-04,1.759000e-04,6.053000e-01
