# NIST PSTAR table for Photographic Emulsion (matno=215)
# Particle: proton
# Source:   https://physics.nist.gov/PhysRefData/Star/Text/PSTAR.html
# Underlying physics: ICRU Report 49 (proton) / ICRU 49 + 73 (alpha)
# Density [g/cm^3]: 3.81500
# Mean excitation energy I [eV]: 331.000
# Composition (weight fraction): H=0.014100, C=0.072261, N=0.019320, O=0.066101, S=0.001890, Br=0.349103, Ag=0.474105, I=0.003120
# Fetched: 2026-06-09 via scripts/fetch_nist_emulsion.py
# Columns: T_MeV, S_elec_MeV_cm2_per_g, S_nuc_MeV_cm2_per_g, S_total_MeV_cm2_per_g, R_csda_g_per_cm2, R_proj_g_per_cm2, detour_factor
T_MeV,S_elec_MeV_cm2_per_g,S_nuc_MeV_cm2_per_g,S_total_MeV_cm2_per_g,R_csda_g_per_cm2,R_proj_g_per_cm2,detour_factor
1.000000e-03,6.133000e+01,8.943000e+00,7.027000e+01,1.948000e-05,5.171000e-06,2.655000e-01
1.500000e-03,7.512000e+01,7.595000e+00,8.271000e+01,2.597000e-05,7.536000e-06,2.902000e-01
2.000000e-03,8.674000e+01,6.716000e+00,9.345000e+01,3.165000e-05,9.850000e-06,3.112000e-01
2.500000e-03,9.697000e+01,6.080000e+00,1.031000e+02,3.674000e-05,1.210000e-05,3.294000e-01
3.000000e-03,1.062000e+02,5.591000e+00,1.118000e+02,4.139000e-05,1.431000e-05,3.456000e-01
4.000000e-03,1.222000e+02,4.873000e+00,1.271000e+02,4.977000e-05,1.859000e-05,3.735000e-01
5.000000e-03,1.363000e+02,4.361000e+00,1.407000e+02,5.724000e-05,2.273000e-05,3.971000e-01
6.000000e-03,1.491000e+02,3.972000e+00,1.530000e+02,6.405000e-05,2.674000e-05,4.175000e-01
7.000000e-03,1.608000e+02,3.662000e+00,1.644000e+02,7.035000e-05,3.063000e-05,4.354000e-01
8.000000e-03,1.716000e+02,3.408000e+00,1.750000e+02,7.624000e-05,3.442000e-05,4.514000e-01
9.000000e-03,1.816000e+02,3.194000e+00,1.848000e+02,8.180000e-05,3.811000e-05,4.659000e-01
1.000000e-02,1.911000e+02,3.012000e+00,1.941000e+02,8.707000e-05,4.172000e-05,4.791000e-01
1.250000e-02,2.100000e+02,2.651000e+00,2.126000e+02,9.935000e-05,5.045000e-05,5.078000e-01
1.500000e-02,2.263000e+02,2.381000e+00,2.287000e+02,1.107000e-04,5.888000e-05,5.319000e-01
1.750000e-02,2.406000e+02,2.169000e+00,2.428000e+02,1.213000e-04,6.703000e-05,5.527000e-01
2.000000e-02,2.535000e+02,1.998000e+00,2.555000e+02,1.313000e-04,7.494000e-05,5.707000e-01
2.250000e-02,2.650000e+02,1.856000e+00,2.669000e+02,1.409000e-04,8.266000e-05,5.867000e-01
2.500000e-02,2.754000e+02,1.736000e+00,2.772000e+02,1.501000e-04,9.020000e-05,6.011000e-01
2.750000e-02,2.848000e+02,1.633000e+00,2.864000e+02,1.589000e-04,9.759000e-05,6.140000e-01
3.000000e-02,2.933000e+02,1.543000e+00,2.948000e+02,1.675000e-04,1.048000e-04,6.258000e-01
3.500000e-02,3.080000e+02,1.394000e+00,3.094000e+02,1.841000e-04,1.190000e-04,6.465000e-01
4.000000e-02,3.203000e+02,1.274000e+00,3.215000e+02,1.999000e-04,1.328000e-04,6.644000e-01
4.500000e-02,3.303000e+02,1.176000e+00,3.315000e+02,2.152000e-04,1.463000e-04,6.799000e-01
5.000000e-02,3.384000e+02,1.093000e+00,3.395000e+02,2.301000e-04,1.596000e-04,6.937000e-01
5.500000e-02,3.447000e+02,1.023000e+00,3.457000e+02,2.447000e-04,1.728000e-04,7.061000e-01
6.000000e-02,3.494000e+02,9.622000e-01,3.504000e+02,2.591000e-04,1.858000e-04,7.173000e-01
6.500000e-02,3.528000e+02,9.090000e-01,3.537000e+02,2.733000e-04,1.988000e-04,7.275000e-01
7.000000e-02,3.551000e+02,8.621000e-01,3.560000e+02,2.874000e-04,2.118000e-04,7.369000e-01
7.500000e-02,3.564000e+02,8.203000e-01,3.573000e+02,3.014000e-04,2.247000e-04,7.456000e-01
8.000000e-02,3.569000e+02,7.828000e-01,3.577000e+02,3.154000e-04,2.377000e-04,7.537000e-01
8.500000e-02,3.566000e+02,7.489000e-01,3.574000e+02,3.293000e-04,2.507000e-04,7.612000e-01
9.000000e-02,3.557000e+02,7.182000e-01,3.564000e+02,3.434000e-04,2.638000e-04,7.683000e-01
9.500000e-02,3.543000e+02,6.901000e-01,3.550000e+02,3.574000e-04,2.770000e-04,7.749000e-01
1.000000e-01,3.524000e+02,6.644000e-01,3.531000e+02,3.715000e-04,2.902000e-04,7.812000e-01
1.250000e-01,3.389000e+02,5.622000e-01,3.395000e+02,4.436000e-04,3.584000e-04,8.079000e-01
1.500000e-01,3.223000e+02,4.894000e-01,3.228000e+02,5.191000e-04,4.304000e-04,8.290000e-01
1.750000e-01,3.055000e+02,4.346000e-01,3.060000e+02,5.987000e-04,5.066000e-04,8.462000e-01
2.000000e-01,2.899000e+02,3.918000e-01,2.903000e+02,6.826000e-04,5.873000e-04,8.604000e-01
2.250000e-01,2.757000e+02,3.573000e-01,2.760000e+02,7.710000e-04,6.726000e-04,8.724000e-01
2.500000e-01,2.630000e+02,3.288000e-01,2.633000e+02,8.637000e-04,7.623000e-04,8.826000e-01
2.750000e-01,2.517000e+02,3.048000e-01,2.520000e+02,9.608000e-04,8.563000e-04,8.913000e-01
3.000000e-01,2.415000e+02,2.842000e-01,2.418000e+02,1.062000e-03,9.546000e-04,8.988000e-01
3.500000e-01,2.244000e+02,2.510000e-01,2.246000e+02,1.277000e-03,1.163000e-03,9.111000e-01
4.000000e-01,2.103000e+02,2.252000e-01,2.105000e+02,1.507000e-03,1.388000e-03,9.207000e-01
4.500000e-01,1.983000e+02,2.045000e-01,1.985000e+02,1.752000e-03,1.626000e-03,9.283000e-01
5.000000e-01,1.880000e+02,1.875000e-01,1.882000e+02,2.011000e-03,1.879000e-03,9.345000e-01
5.500000e-01,1.790000e+02,1.734000e-01,1.792000e+02,2.283000e-03,2.145000e-03,9.396000e-01
6.000000e-01,1.710000e+02,1.613000e-01,1.712000e+02,2.569000e-03,2.425000e-03,9.439000e-01
6.500000e-01,1.639000e+02,1.509000e-01,1.640000e+02,2.867000e-03,2.717000e-03,9.476000e-01
7.000000e-01,1.575000e+02,1.419000e-01,1.576000e+02,3.178000e-03,3.021000e-03,9.507000e-01
7.500000e-01,1.516000e+02,1.339000e-01,1.518000e+02,3.501000e-03,3.338000e-03,9.534000e-01
8.000000e-01,1.463000e+02,1.268000e-01,1.464000e+02,3.837000e-03,3.667000e-03,9.558000e-01
